time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
5672,288,1638400,3.1037173600000005,152.29,80,395,-4.29711098074913,1.0137075185775757,0.9286566376686096,0.0036340611774357966,0.005108454264700413,0.170185546875,8.1341444e-05,0.0001,0.009336786007042974,0.015,,
,,1650000,,,,400,-4.300050517320633,1.0146023035049438,0.9371039867401123,-0.007396131990099093,0.0003464818000793457,0.160263671875,7.752841e-05,0.0001,0.008446494744857773,0.015,3.027965625,138.875
5753,288,1658880,3.43940638,170.53,81,,,,,,,,,,,,,
5865,286,1679360,3.04670911,155.19,82,405,-4.300636638402938,1.0146198272705078,0.9302262663841248,-0.02007523495616624,-0.017496071755886078,0.206923828125,9.153081e-05,0.0001,0.009330449609551579,0.015,,
5956,285,1699840,3.159974,153.91,83,410,-4.302135208845138,1.015434741973877,0.9317504167556763,-0.0024285146850161255,0.0051242895424366,0.190849609375,8.8448745e-05,0.0001,0.0075632167013827715,0.015,,
,,1700000,,,,415,-4.301428111791611,1.0147873163223267,0.9192816615104675,-0.027020950186997652,-0.0036874841898679733,0.174794921875,8.4037834e-05,0.0001,0.007792188933235593,0.015,3.23967925,170.25
6028,285,1720320,3.85089379,193.78,84,,,,,,,,,,,,,
6094,285,1740800,3.2443906,160.19,85,420,-4.301290326118469,1.0151029825210571,0.930773138999939,-0.019706349559128283,-0.014376714825630188,0.155302734375,7.163446e-05,0.0001,0.007325717050698586,0.015,,
,,1750000,,,,425,-4.302222130298614,1.0152403116226196,0.9380174279212952,-0.01097536731220316,0.0013672113418579102,0.16255859375,7.880673e-05,0.0001,0.008617214560508728,0.015,3.001378125,146.0
6162,285,1761280,3.149910789999999,155.13,86,,,,,,,,,,,,,
6233,285,1781760,3.0794771100000005,156.79,87,430,-4.3043388950824735,1.0160213708877563,0.9488711953163147,-0.0029224035487277434,0.010678695514798164,0.149287109375,7.5063974e-05,0.0001,0.007448297163937241,0.015,,
